product_name,model,color,talla,cantidad
BARBUDA - NEGRO,BARBUDA,NEGRO,35,1
BARBUDA - NEGRO,BARBUDA,NEGRO,37,1
BARBUDA - NEGRO,BARBUDA,NEGRO,39,1
BARBUDA - NEGRO,BARBUDA,NEGRO,40,1
BARBUDA - NEGRO,BARBUDA,NEGRO,41,2
BARBUDA - NEGRO,BARBUDA,NEGRO,43,1
BARBUDA - BLANCO,BARBUDA,BLANCO,35,1
BARBUDA - BLANCO,BARBUDA,BLANCO,36,2
BARBUDA - BLANCO,BARBUDA,BLANCO,37,2
BARBUDA - BLANCO,BARBUDA,BLANCO,38,2
BARBUDA - BLANCO,BARBUDA,BLANCO,39,2
BARBUDA - BLANCO,BARBUDA,BLANCO,40,2
BARBUDA - BLANCO,BARBUDA,BLANCO,41,1
BARBUDA - MOSTAZA,BARBUDA,MOSTAZA,35,1
BARBUDA - MOSTAZA,BARBUDA,MOSTAZA,36,2
BARBUDA - MOSTAZA,BARBUDA,MOSTAZA,38,1
BARBUDA - MOSTAZA,BARBUDA,MOSTAZA,39,1
BARBUDA - MOSTAZA,BARBUDA,MOSTAZA,40,1
BARBUDA - MOSTAZA,BARBUDA,MOSTAZA,41,1
BARBUDA - MOSTAZA,BARBUDA,MOSTAZA,42,1
BARBUDA - MARRON,BARBUDA,MARRON,35,1
BARBUDA - MARRON,BARBUDA,MARRON,36,2
BARBUDA - MARRON,BARBUDA,MARRON,37,1
BARBUDA - MARRON,BARBUDA,MARRON,38,1
BARBUDA - MARRON,BARBUDA,MARRON,39,2
BARBUDA - MARRON,BARBUDA,MARRON,40,2
BARBUDA - MARRON,BARBUDA,MARRON,41,2
BARBUDA - MARRON,BARBUDA,MARRON,42,2
BARBUDA - MARRON,BARBUDA,MARRON,43,1
BARBUDA - MARRON,BARBUDA,MARRON,44,1
BARBUDA - BEIGE,BARBUDA,BEIGE,35,1
BARBUDA - BEIGE,BARBUDA,BEIGE,36,2
BARBUDA - BEIGE,BARBUDA,BEIGE,37,3
BARBUDA - BEIGE,BARBUDA,BEIGE,38,3
BARBUDA - BEIGE,BARBUDA,BEIGE,39,2
BARBUDA - BEIGE,BARBUDA,BEIGE,40,2
BARBUDA - BEIGE,BARBUDA,BEIGE,41,2
BARBUDA - BEIGE,BARBUDA,BEIGE,42,1
BARBUDA - BEIGE,BARBUDA,BEIGE,43,1
BARBUDA - GRIS,BARBUDA,GRIS,35,1
BARBUDA - GRIS,BARBUDA,GRIS,36,2
BARBUDA - GRIS,BARBUDA,GRIS,37,2
BARBUDA - GRIS,BARBUDA,GRIS,38,2
BARBUDA - GRIS,BARBUDA,GRIS,39,2
BARBUDA - GRIS,BARBUDA,GRIS,40,2
BARBUDA - GRIS,BARBUDA,GRIS,41,1
BARBUDA - AZUL,BARBUDA,AZUL,35,1
BARBUDA - AZUL,BARBUDA,AZUL,40,1
BARBUDA - AZUL,BARBUDA,AZUL,42,2
