name,model,color,brand,category,price_cop,available_sizes,in_stock,description,image
BARBUDA - NEGRO,BARBUDA,NEGRO,Mailton Kanazo,Sandalias,180000,"['35', '37', '39', '40', '41', '43']",True,"Modelo BARBUDA en color NEGRO disponible en tallas 35, 37, 39, 40, 41, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
BARBUDA - BLANCO,BARBUDA,BLANCO,Mailton Kanazo,Sandalias,180000,"['35', '36', '37', '38', '39', '40', '41']",True,"Modelo BARBUDA en color BLANCO disponible en tallas 35, 36, 37, 38, 39, 40, 41",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
BARBUDA - MOSTAZA,BARBUDA,MOSTAZA,Mailton Kanazo,Sandalias,180000,"['35', '36', '38', '39', '40', '41', '42']",True,"Modelo BARBUDA en color MOSTAZA disponible en tallas 35, 36, 38, 39, 40, 41, 42",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
BARBUDA - MARRON,BARBUDA,MARRON,Mailton Kanazo,Sandalias,180000,"['35', '36', '37', '38', '39', '40', '41', '42', '43', '44']",True,"Modelo BARBUDA en color MARRON disponible en tallas 35, 36, 37, 38, 39, 40, 41, 42, 43, 44",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
BARBUDA - BEIGE,BARBUDA,BEIGE,Mailton Kanazo,Sandalias,180000,"['35', '36', '37', '38', '39', '40', '41', '42', '43']",True,"Modelo BARBUDA en color BEIGE disponible en tallas 35, 36, 37, 38, 39, 40, 41, 42, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
BARBUDA - GRIS,BARBUDA,GRIS,Mailton Kanazo,Sandalias,180000,"['35', '36', '37', '38', '39', '40', '41']",True,"Modelo BARBUDA en color GRIS disponible en tallas 35, 36, 37, 38, 39, 40, 41",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
BARBUDA - AZUL,BARBUDA,AZUL,Mailton Kanazo,Sandalias,180000,"['35', '40', '42', '43']",True,"Modelo BARBUDA en color AZUL disponible en tallas 35, 40, 42, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
BARBUDA - nan,BARBUDA,,Mailton Kanazo,Sandalias,180000,[],False,Modelo BARBUDA en color nan disponible en tallas ,https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
BARBUDA - Colores_Modelo_SANTORY,BARBUDA,Colores_Modelo_SANTORY,Mailton Kanazo,Sandalias,180000,[],False,Modelo BARBUDA en color Colores_Modelo_SANTORY disponible en tallas ,https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
BARBUDA - NEGRO,BARBUDA,NEGRO,Mailton Kanazo,Sandalias,180000,"['35', '36', '37', '38', '39', '40', '41', '42', '43']",True,"Modelo BARBUDA en color NEGRO disponible en tallas 35, 36, 37, 38, 39, 40, 41, 42, 43",https://www.mailtonkanazohome.com/cdn/shop/files/placeholder.jpg
